,importance
Customer_Service_Calls,0.1527835970489711
Cart_Abandonment_Rate,0.07913541935539875
risk_score,0.07551531987277048
Age,0.07403922170740476
Lifetime_Value,0.06358561995704198
value_score,0.06255081456182461
engagement_index,0.0596469493512363
Discount_Usage_Rate,0.04673185087484774
Total_Purchases,0.038332736635801834
Email_Open_Rate,0.03246429041938165
Session_Duration_Avg,0.02934888711728191
Pages_Per_Session,0.028160812227288484
segment_label_Needs Attention,0.02561378151405795
Average_Order_Value,0.025592971729311027
Mobile_App_Usage,0.02486006527296786
Days_Since_Last_Purchase,0.02369888541619459
segment_confidence,0.023300179337356623
Wishlist_Items,0.019380348851322355
Login_Frequency,0.01690662754201813
Social_Media_Engagement_Score,0.016181705370774662
segment_label_Loyal,0.015048803637446592
Returns_Rate,0.014613671375767518
Credit_Balance,0.013198599822439906
Product_Reviews_Written,0.012635580670034407
Membership_Years,0.009633268101547491
Payment_Method_Diversity,0.003015064159902976
Gender_Male,0.0018712335536848477
Country_USA,0.0014508025402631725
Signup_Quarter_Q2,0.0011788246969745325
Signup_Quarter_Q4,0.001163597829076733
Signup_Quarter_Q3,0.0011398647803414973
Country_UK,0.0006442061316650906
Country_Canada,0.0005788697583885268
Country_Germany,0.000495372701354721
City_Houston,0.0004050186993091249
City_Phoenix,0.0004013490675031908
Country_France,0.0003649024910216901
Country_India,0.0003363810390087646
City_Los Angeles,0.00028675318789360394
City_Chicago,0.00028585135678154354
City_New York,0.0002632846508396195
Country_Japan,0.00022464116826070998
City_Toronto,0.0001742327613016011
City_Manchester,0.00015863384476693488
City_Birmingham,0.00014205549916842972
City_Montreal,0.0001352995727144633
City_Munich,0.0001348231162731079
City_Leeds,0.00012822441362715742
City_Cologne,0.00011643497040269836
City_Glasgow,0.00011319136727159956
City_Brisbane,0.00010601666045041431
City_Berlin,0.00010398240067589748
City_Mumbai,9.932540637619317e-05
City_London,9.470313247589542e-05
City_Hamburg,9.098981062566558e-05
City_Delhi,9.03991207214164e-05
City_Calgary,8.83321501566478e-05
City_Vancouver,8.586360486481472e-05
City_Ottawa,8.561902377355182e-05
City_Melbourne,8.358096938538801e-05
Gender_Other,8.073170735918515e-05
City_Hyderabad,7.853709107401065e-05
City_Frankfurt,7.771881302810445e-05
City_Toulouse,6.89745656862323e-05
City_Kyoto,6.452864261639174e-05
City_Lyon,6.118223926778316e-05
City_Sydney,5.96934493475155e-05
City_Marseille,5.647302970772846e-05
City_Paris,5.2542656517463656e-05
City_Nice,4.8254957355487816e-05
City_Perth,4.373355601892558e-05
City_Chennai,4.1570911148322884e-05
City_Nagoya,4.0643249488504275e-05
City_Osaka,3.889841643027051e-05
City_Bangalore,3.665094373021079e-05
City_Tokyo,2.8159363924788307e-05
City_Yokohama,2.3972999508490165e-05
